period,arc,flow_engine,flow_official,limit,limit_reverse
1,CALA-SICI,874.9,874.9,1658.0,1352.0
1,CALA-SUD,-250.2,-250.2,1941.0,1367.0
1,CNOR-CSUD,1622.2,1622.2,2518.0,3229.0
1,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
1,CSUD-SARD,-28.1,-28.1,720.0,870.0
1,CSUD-SUD,-386.8,-386.8,2789.0,4951.0
2,CALA-SICI,819.7,819.7,1658.0,1352.0
2,CALA-SUD,-205.7,-205.7,1941.0,1367.0
2,CNOR-CSUD,1567.6,1567.6,2518.0,3229.0
2,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
2,CSUD-SARD,-32.2,-32.2,720.0,870.0
2,CSUD-SUD,-416.8,-416.8,2789.0,4951.0
3,CALA-SICI,931.5,931.5,1658.0,1352.0
3,CALA-SUD,-302.9,-302.9,1941.0,1367.0
3,CNOR-CSUD,1567.1,1567.1,2518.0,3229.0
3,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
3,CSUD-SARD,-19.6,-19.6,720.0,870.0
3,CSUD-SUD,-343.0,-343.0,2789.0,4951.0
4,CALA-SICI,970.4,970.4,1658.0,1352.0
4,CALA-SUD,-354.4,-354.4,1941.0,1367.0
4,CNOR-CSUD,1576.5,1576.5,2518.0,3229.0
4,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
4,CSUD-SARD,-20.1,-20.1,720.0,870.0
4,CSUD-SUD,-292.5,-292.5,2789.0,4951.0
5,CALA-SICI,1420.8,1420.8,1658.0,1352.0
5,CALA-SUD,-785.8,-785.8,1941.0,1367.0
5,CNOR-CSUD,1681.1,1681.1,2605.0,3229.0
5,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
5,CSUD-SARD,-61.6,-61.6,720.0,870.0
5,CSUD-SUD,22.4,22.4,2789.0,4951.0
6,CALA-SICI,1417.5,1417.5,1658.0,1352.0
6,CALA-SUD,-786.4,-786.4,1941.0,1367.0
6,CNOR-CSUD,1659.0,1659.0,2605.0,3229.0
6,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
6,CSUD-SARD,-69.6,-69.6,720.0,870.0
6,CSUD-SUD,-4.4,-3.9,2789.0,4951.0
7,CALA-SICI,1251.2,1251.2,1658.0,1352.0
7,CALA-SUD,-643.0,-643.0,1941.0,1367.0
7,CNOR-CSUD,1635.4,1635.4,2605.0,3229.0
7,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
7,CSUD-SARD,-33.4,-33.4,720.0,870.0
7,CSUD-SUD,-72.0,-72.0,2789.0,4951.0
8,CALA-SICI,1390.6,1390.6,1658.0,1352.0
8,CALA-SUD,-778.0,-778.0,1941.0,1367.0
8,CNOR-CSUD,1674.7,1674.7,2605.0,3229.0
8,CNOR-NORD,-3248.0,-3248.0,2398.0,3248.0
8,CSUD-SARD,-47.7,-47.7,720.0,870.0
8,CSUD-SUD,14.7,14.7,2789.0,4951.0
9,CALA-SICI,1279.7,1279.7,1655.0,1367.0
9,CALA-SUD,-727.0,-727.0,1931.0,1423.0
9,CNOR-CSUD,1459.1,1459.1,2625.0,3390.0
9,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
9,CSUD-SARD,-88.1,-88.1,720.0,870.0
9,CSUD-SUD,-15.0,-15.0,2570.0,5345.0
10,CALA-SICI,1267.4,1267.4,1655.0,1367.0
10,CALA-SUD,-722.4,-722.4,1931.0,1423.0
10,CNOR-CSUD,1469.7,1469.7,2625.0,3390.0
10,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
10,CSUD-SARD,-66.0,-65.6,720.0,870.0
10,CSUD-SUD,-41.0,-41.4,2570.0,5345.0
11,CALA-SICI,1314.6,1314.6,1655.0,1367.0
11,CALA-SUD,-773.0,-773.0,1931.0,1423.0
11,CNOR-CSUD,1487.5,1487.5,2625.0,3390.0
11,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
11,CSUD-SARD,-67.0,-67.0,720.0,870.0
11,CSUD-SUD,15.2,15.2,2570.0,5345.0
12,CALA-SICI,1282.8,1282.8,1655.0,1367.0
12,CALA-SUD,-751.9,-751.9,1931.0,1423.0
12,CNOR-CSUD,1473.1,1473.1,2625.0,3390.0
12,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
12,CSUD-SARD,-50.7,-50.7,720.0,870.0
12,CSUD-SUD,-18.2,-18.2,2570.0,5345.0
13,CALA-SICI,1349.8,1349.8,1655.0,1367.0
13,CALA-SUD,-801.4,-801.4,1931.0,1423.0
13,CNOR-CSUD,1515.6,1515.6,2625.0,3390.0
13,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
13,CSUD-SARD,-73.3,-73.3,720.0,870.0
13,CSUD-SUD,-0.3,-0.1,2570.0,5345.0
14,CALA-SICI,1329.2,1333.7,1655.0,1367.0
14,CALA-SUD,-791.0,-795.5,1931.0,1423.0
14,CNOR-CSUD,1509.9,1509.9,2625.0,3390.0
14,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
14,CSUD-SARD,-67.9,-67.9,720.0,870.0
14,CSUD-SUD,-12.9,-8.4,2570.0,5345.0
15,CALA-SICI,1313.3,1313.3,1655.0,1367.0
15,CALA-SUD,-766.2,-766.2,1931.0,1423.0
15,CNOR-CSUD,1530.1,1530.1,2625.0,3390.0
15,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
15,CSUD-SARD,55.7,55.7,720.0,870.0
15,CSUD-SUD,-95.1,-95.1,2570.0,5345.0
16,CALA-SICI,1305.4,1305.4,1655.0,1367.0
16,CALA-SUD,-760.1,-760.1,1931.0,1423.0
16,CNOR-CSUD,1524.5,1524.5,2625.0,3390.0
16,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
16,CSUD-SARD,52.7,52.7,720.0,870.0
16,CSUD-SUD,-105.0,-105.0,2570.0,5345.0
17,CALA-SICI,1338.7,1338.7,1657.0,1355.0
17,CALA-SUD,-829.7,-829.7,1873.0,1366.0
17,CNOR-CSUD,1475.4,1475.4,2605.0,3371.0
17,CNOR-NORD,-2970.7,-2970.7,2454.0,3137.0
17,CSUD-SARD,-74.5,-74.5,720.0,870.0
17,CSUD-SUD,-76.8,-76.8,2812.0,4976.0
