period,zone,price_engine,price_official,diff,coherence
1,NORD,156.44,156.44,0.0,OK
1,CNOR,158.2,158.2,0.0,OK
1,CSUD,158.2,158.2,0.0,OK
1,SUD,158.2,158.2,0.0,OK
1,CALA,158.2,158.2,0.0,OK
1,SICI,158.2,158.2,0.0,OK
1,SARD,158.2,158.2,0.0,OK
2,NORD,145.0,145.0,0.0,OK
2,CNOR,158.2,158.2,0.0,OK
2,CSUD,158.2,158.2,0.0,OK
2,SUD,158.2,158.2,0.0,OK
2,CALA,158.2,158.2,0.0,OK
2,SICI,158.2,158.2,0.0,OK
2,SARD,158.2,158.2,0.0,OK
3,NORD,136.08,136.08,0.0,OK
3,CNOR,158.2,158.2,0.0,OK
3,CSUD,158.2,158.2,0.0,OK
3,SUD,158.2,158.2,0.0,OK
3,CALA,158.2,158.2,0.0,OK
3,SICI,158.2,158.2,0.0,OK
3,SARD,158.2,158.2,0.0,OK
4,NORD,134.54,134.54,0.0,OK
4,CNOR,158.2,158.2,0.0,OK
4,CSUD,158.2,158.2,0.0,OK
4,SUD,158.2,158.2,0.0,OK
4,CALA,158.2,158.2,0.0,OK
4,SICI,158.2,158.2,0.0,OK
4,SARD,158.2,158.2,0.0,OK
5,NORD,134.54,134.54,0.0,OK
5,CNOR,151.79,151.79,0.0,OK
5,CSUD,151.79,151.79,0.0,OK
5,SUD,151.79,151.79,0.0,OK
5,CALA,151.79,151.79,0.0,OK
5,SICI,151.79,151.79,0.0,OK
5,SARD,151.79,151.79,0.0,OK
6,NORD,134.54,134.54,0.0,OK
6,CNOR,145.03,145.03,0.0,OK
6,CSUD,145.03,145.03,0.0,OK
6,SUD,145.03,145.03,0.0,OK
6,CALA,145.03,145.03,0.0,OK
6,SICI,145.03,145.03,0.0,OK
6,SARD,145.03,145.03,0.0,OK
7,NORD,134.54,134.54,0.0,OK
7,CNOR,158.2,158.2,0.0,OK
7,CSUD,158.2,158.2,0.0,OK
7,SUD,158.2,158.2,0.0,OK
7,CALA,158.2,158.2,0.0,OK
7,SICI,158.2,158.2,0.0,OK
7,SARD,158.2,158.2,0.0,OK
8,NORD,134.54,134.54,0.0,OK
8,CNOR,143.5,143.5,0.0,OK
8,CSUD,143.5,143.5,0.0,OK
8,SUD,143.5,143.5,0.0,OK
8,CALA,143.5,143.5,0.0,OK
8,SICI,143.5,143.5,0.0,OK
8,SARD,143.5,143.5,0.0,OK
9,NORD,134.54,134.54,0.0,OK
9,CNOR,155.0,155.0,0.0,OK
9,CSUD,155.0,155.0,0.0,OK
9,SUD,155.0,155.0,0.0,OK
9,CALA,155.0,155.0,0.0,OK
9,SICI,155.0,155.0,0.0,OK
9,SARD,155.0,155.0,0.0,OK
10,NORD,134.54,134.54,0.0,OK
10,CNOR,155.6,155.6,0.0,OK
10,CSUD,155.6,155.6,0.0,OK
10,SUD,155.6,155.6,0.0,OK
10,CALA,155.6,155.6,0.0,OK
10,SICI,155.6,155.6,0.0,OK
10,SARD,155.6,155.6,0.0,OK
11,NORD,134.54,134.54,0.0,OK
11,CNOR,152.0,152.0,0.0,OK
11,CSUD,152.0,152.0,0.0,OK
11,SUD,152.0,152.0,0.0,OK
11,CALA,152.0,152.0,0.0,OK
11,SICI,152.0,152.0,0.0,OK
11,SARD,152.0,152.0,0.0,OK
12,NORD,134.54,134.54,0.0,OK
12,CNOR,155.0,155.0,0.0,OK
12,CSUD,155.0,155.0,0.0,OK
12,SUD,155.0,155.0,0.0,OK
12,CALA,155.0,155.0,0.0,OK
12,SICI,155.0,155.0,0.0,OK
12,SARD,155.0,155.0,0.0,OK
13,NORD,134.54,134.54,0.0,OK
13,CNOR,143.21,143.21,0.0,OK
13,CSUD,143.21,143.21,0.0,OK
13,SUD,143.21,143.21,0.0,OK
13,CALA,143.21,143.21,0.0,OK
13,SICI,143.21,143.21,0.0,OK
13,SARD,143.21,143.21,0.0,OK
14,NORD,134.54,134.54,0.0,OK
14,CNOR,145.0,145.0,0.0,OK
14,CSUD,145.0,145.0,0.0,OK
14,SUD,145.0,145.0,0.0,OK
14,CALA,145.0,145.0,0.0,OK
14,SICI,145.0,145.0,0.0,OK
14,SARD,145.0,145.0,0.0,OK
15,NORD,134.54,134.54,0.0,OK
15,CNOR,139.5,139.5,0.0,OK
15,CSUD,139.5,139.5,0.0,OK
15,SUD,139.5,139.5,0.0,OK
15,CALA,139.5,139.5,0.0,OK
15,SICI,139.5,139.5,0.0,OK
15,SARD,139.5,139.5,0.0,OK
16,NORD,134.54,134.54,0.0,OK
16,CNOR,139.5,139.5,0.0,OK
16,CSUD,139.5,139.5,0.0,OK
16,SUD,139.5,139.5,0.0,OK
16,CALA,139.5,139.5,0.0,OK
16,SICI,139.5,139.5,0.0,OK
16,SARD,139.5,139.5,0.0,OK
17,NORD,134.54,134.54,0.0,OK
17,CNOR,134.54,134.54,0.0,OK
17,CSUD,134.54,134.54,0.0,OK
17,SUD,134.54,134.54,0.0,OK
17,CALA,134.54,134.54,0.0,OK
17,SICI,134.54,134.54,0.0,OK
17,SARD,134.54,134.54,0.0,OK
18,NORD,134.54,134.54,0.0,OK
18,CNOR,134.54,134.54,0.0,OK
18,CSUD,134.54,134.54,0.0,OK
18,SUD,134.54,134.54,0.0,OK
18,CALA,134.54,134.54,0.0,OK
18,SICI,134.54,134.54,0.0,OK
18,SARD,134.54,134.54,0.0,OK
19,NORD,133.21,133.21,0.0,OK
19,CNOR,133.21,133.21,0.0,OK
19,CSUD,133.21,133.21,0.0,OK
19,SUD,133.21,133.21,0.0,OK
19,CALA,133.21,133.21,0.0,OK
19,SICI,133.21,133.21,0.0,OK
19,SARD,133.21,133.21,0.0,OK
20,NORD,134.54,134.54,0.0,OK
20,CNOR,134.54,134.54,0.0,OK
20,CSUD,134.54,134.54,0.0,OK
20,SUD,134.54,134.54,0.0,OK
20,CALA,134.54,134.54,0.0,OK
20,SICI,134.54,134.54,0.0,OK
20,SARD,134.54,134.54,0.0,OK
21,NORD,130.88,130.88,0.0,OK
21,CNOR,130.88,130.88,0.0,OK
21,CSUD,130.88,130.88,0.0,OK
21,SUD,130.88,130.88,0.0,OK
21,CALA,130.88,130.88,0.0,OK
21,SICI,130.88,130.88,0.0,OK
21,SARD,130.88,130.88,0.0,OK
22,NORD,129.0,129.0,0.0,OK
22,CNOR,129.0,129.0,0.0,OK
22,CSUD,129.0,129.0,0.0,OK
22,SUD,129.0,129.0,0.0,OK
22,CALA,129.0,129.0,0.0,OK
22,SICI,129.0,129.0,0.0,OK
22,SARD,129.0,129.0,0.0,OK
23,NORD,129.0,129.0,0.0,OK
23,CNOR,129.0,129.0,0.0,OK
23,CSUD,129.0,129.0,0.0,OK
23,SUD,129.0,129.0,0.0,OK
23,CALA,129.0,129.0,0.0,OK
23,SICI,129.0,129.0,0.0,OK
23,SARD,129.0,129.0,0.0,OK
24,NORD,136.62,136.30808,0.31,OK
24,CNOR,136.62,136.30808,0.31,OK
24,CSUD,136.62,136.30808,0.31,OK
24,SUD,136.62,136.30808,0.31,OK
24,CALA,136.62,136.30808,0.31,OK
24,SICI,136.62,136.30808,0.31,OK
24,SARD,136.62,136.30808,0.31,OK
25,NORD,138.98,138.98,0.0,OK
25,CNOR,138.98,138.98,0.0,OK
25,CSUD,138.98,138.98,0.0,OK
25,SUD,138.98,138.98,0.0,OK
25,CALA,138.98,138.98,0.0,OK
25,SICI,138.98,138.98,0.0,OK
25,SARD,138.98,138.98,0.0,OK
26,NORD,143.83,143.83,0.0,OK
26,CNOR,143.83,143.83,0.0,OK
26,CSUD,143.83,143.83,0.0,OK
26,SUD,143.83,143.83,0.0,OK
26,CALA,143.83,143.83,0.0,OK
26,SICI,143.83,143.83,0.0,OK
26,SARD,143.83,143.83,0.0,OK
27,NORD,155.0,155.0,0.0,OK
27,CNOR,155.0,155.0,0.0,OK
27,CSUD,155.0,155.0,0.0,OK
27,SUD,155.0,155.0,0.0,OK
27,CALA,155.0,155.0,0.0,OK
27,SICI,155.0,155.0,0.0,OK
27,SARD,155.0,155.0,0.0,OK
28,NORD,158.2,158.2,0.0,OK
28,CNOR,158.2,158.2,0.0,OK
28,CSUD,158.2,158.2,0.0,OK
28,SUD,158.2,158.2,0.0,OK
28,CALA,158.2,158.2,0.0,OK
28,SICI,158.2,158.2,0.0,OK
28,SARD,158.2,158.2,0.0,OK
29,NORD,158.2,158.2,0.0,OK
29,CNOR,158.2,158.2,0.0,OK
29,CSUD,158.2,158.2,0.0,OK
29,SUD,158.2,158.2,0.0,OK
29,CALA,158.2,158.2,0.0,OK
29,SICI,158.2,158.2,0.0,OK
29,SARD,158.2,158.2,0.0,OK
30,NORD,158.2,158.2,0.0,OK
30,CNOR,158.2,158.2,0.0,OK
30,CSUD,158.2,158.2,0.0,OK
30,SUD,158.2,158.2,0.0,OK
30,CALA,158.2,158.2,0.0,OK
30,SICI,158.2,158.2,0.0,OK
30,SARD,158.2,158.2,0.0,OK
31,NORD,158.43,158.43,0.0,OK
31,CNOR,158.43,158.43,0.0,OK
31,CSUD,158.43,158.43,0.0,OK
31,SUD,158.43,158.43,0.0,OK
31,CALA,158.43,158.43,0.0,OK
31,SICI,158.43,158.43,0.0,OK
31,SARD,158.43,158.43,0.0,OK
32,NORD,158.2,158.2,0.0,OK
32,CNOR,158.2,158.2,0.0,OK
32,CSUD,158.2,158.2,0.0,OK
32,SUD,158.2,158.2,0.0,OK
32,CALA,158.2,158.2,0.0,OK
32,SICI,158.2,158.2,0.0,OK
32,SARD,158.2,158.2,0.0,OK
33,NORD,160.66,160.66,0.0,OK
33,CNOR,160.66,160.66,0.0,OK
33,CSUD,160.66,160.66,0.0,OK
33,SUD,160.66,160.66,0.0,OK
33,CALA,160.66,160.66,0.0,OK
33,SICI,160.66,160.66,0.0,OK
33,SARD,160.66,160.66,0.0,OK
34,NORD,158.43,158.43,0.0,OK
34,CNOR,158.43,158.43,0.0,OK
34,CSUD,158.43,158.43,0.0,OK
34,SUD,158.43,158.43,0.0,OK
34,CALA,158.43,158.43,0.0,OK
34,SICI,158.43,158.43,0.0,OK
34,SARD,158.43,158.43,0.0,OK
35,NORD,158.2,158.2,0.0,OK
35,CNOR,158.2,158.2,0.0,OK
35,CSUD,158.2,158.2,0.0,OK
