block,zone,side,price,mar,volume,status_official,status_engine,ratio_engine,ratio_official,weighted_price
995898899253086,CALA,-1,220.0,1.0,23978.5,REJ,rejected,0.0,0.0,207.8041993869508
995898899253088,CALA,-1,335.0,1.0,6841.9,REJ,rejected,0.0,0.0,238.5385772957804
995898899162797,NORD,-1,288.0,1.0,4176.0,REJ,rejected,0.0,0.0,252.6460536398467
995898898469878,CSUD,-1,272.0,1.0,1790.4,REJ,rejected,0.0,0.0,256.0731657730116
995898898540132,SUD,-1,220.0,1.0,24881.0,REJ,rejected,0.0,0.0,206.74673578232387
995898898801070,NORD,-1,254.18,1.0,24052.0,REJ,rejected,0.0,0.0,210.99527357392319
995898899088272,CSUD,-1,198.23,1.0,5041.5,ACC,accepted,1.0,1.0,222.713903600119
995898899088273,CSUD,-1,223.0,1.0,11919.5,REJ,rejected,0.0,0.0,222.54557909308278
995898899088275,CSUD,-1,234.32,1.0,10140.5,REJ,rejected,0.0,0.0,196.10877668754006
995898899088274,CSUD,-1,197.9,1.0,3086.0,REJ,rejected,0.0,0.0,189.05159753726505
995898899088270,CSUD,-1,197.9,1.0,3901.0,ACC,accepted,1.0,1.0,239.70182004614202
995898899088271,CSUD,-1,230.39,1.0,9971.0,ACC,accepted,1.0,1.0,240.65159963895297
995898899160145,NORD,-1,406.99,0.85,2265.2,REJ,rejected,0.0,0.0,207.7946923009006
995898899160143,NORD,-1,261.92,0.85,2173.6,REJ,rejected,0.0,0.0,242.08595279720282
995898899160144,NORD,-1,271.29,0.85,2942.8,REJ,rejected,0.0,0.0,193.46206537991026
995898899160142,NORD,-1,258.11,0.85,2238.4,REJ,rejected,0.0,0.0,251.9497078270193
995898898801072,NORD,-1,240.18,1.0,7764.0,PREJ,paradoxically_rejected,0.0,0.0,241.34947449768163
995898898801074,NORD,-1,274.18,1.0,24492.0,REJ,rejected,0.0,0.0,212.27162338722846
995898898801075,NORD,-1,290.18,1.0,9964.0,REJ,rejected,0.0,0.0,240.84261240465676
995898898723756,NORD,-1,272.1,1.0,3152.0,REJ,rejected,0.0,0.0,220.67972366751272
995898898746350,CALA,-1,216.51,1.0,34032.0,ACC,accepted,1.0,1.0,216.8688240479549
995898899088278,NORD,-1,190.25,1.0,5830.0,ACC,accepted,1.0,1.0,223.07180188679246
995898899088279,NORD,-1,223.14,1.0,12121.0,REJ,rejected,0.0,0.0,222.67827076973845
995898899088281,NORD,-1,232.51,1.0,10542.5,REJ,rejected,0.0,0.0,199.5343078017548
995898899088280,NORD,-1,190.58,1.0,3777.5,ACC,accepted,1.0,1.0,193.23547584381205
995898899088276,NORD,-1,190.58,1.0,4483.0,ACC,accepted,1.0,1.0,239.9313116216819
995898899088277,NORD,-1,231.82,1.0,10074.0,ACC,accepted,1.0,1.0,240.73627556084975
995898898801065,NORD,-1,272.18,1.0,22480.0,REJ,rejected,0.0,0.0,210.9542068505338
995898898801066,NORD,-1,293.18,1.0,11096.0,REJ,rejected,0.0,0.0,240.16059480894015
995898897804684,SARD,-1,153.05,1.0,16320.0,ACC,accepted,1.0,1.0,202.60072916666667
995898898801067,CSUD,-1,235.18,1.0,15080.0,REJ,rejected,0.0,0.0,224.083974801061
995898898801068,CSUD,-1,261.18,1.0,10144.0,REJ,rejected,0.0,0.0,190.7399704258675
995898898801069,CSUD,-1,252.18,1.0,10416.0,REJ,rejected,0.0,0.0,240.73263920890938
995898898548004,NORD,-1,282.66,0.94,8160.0,REJ,rejected,0.0,0.0,208.22125000000003
995898898548006,NORD,-1,299.31,0.94,5440.0,REJ,rejected,0.0,0.0,248.418125
995898898548003,NORD,-1,271.56,0.94,12240.0,REJ,rejected,0.0,0.0,205.59777777777776
995898898548005,NORD,-1,289.32,0.94,6800.0,REJ,rejected,0.0,0.0,239.7895
995898898548007,NORD,-1,222.89,0.91,8760.0,REJ,rejected,0.0,0.0,208.22125000000003
995898898907570,NORD,-1,245.72,0.91,7240.0,REJ,rejected,0.0,0.0,241.5016367403315
995898898548008,NORD,-1,222.89,0.91,8400.0,REJ,rejected,0.0,0.0,191.67
995898898907573,NORD,-1,239.2,0.91,9920.0,ACC,accepted,1.0,1.0,240.70599798387096
995898898548009,NORD,-1,226.05,0.91,8640.0,REJ,rejected,0.0,0.0,208.22125
995898898548012,NORD,-1,248.88,0.91,7140.0,REJ,rejected,0.0,0.0,241.50495798319326
995898898548010,NORD,-1,226.05,0.91,9660.0,REJ,rejected,0.0,0.0,197.20142857142858
995898898548011,NORD,-1,245.07,0.91,8400.0,REJ,rejected,0.0,0.0,242.3966845238095
995898898548013,NORD,-1,225.82,0.83,8760.0,REJ,rejected,0.0,0.0,208.22125000000003
995898898548016,NORD,-1,248.74,0.83,7240.0,REJ,rejected,0.0,0.0,241.5016367403315
995898898548014,NORD,-1,225.82,0.83,9800.0,REJ,rejected,0.0,0.0,197.20142857142858
995898898548015,NORD,-1,244.92,0.83,8520.0,REJ,rejected,0.0,0.0,242.40111502347418
995898898907567,NORD,-1,206.31,1.0,32316.0,ACC,accepted,1.0,1.0,224.16235548954077
995898898721222,NORD,-1,306.0,1.0,8400.0,REJ,rejected,0.0,0.0,240.95107142857142
995898899065652,CSUD,-1,211.0,0.8,12515.2,ACC,accepted,1.0,1.0,223.1034100933265
995898899065653,CSUD,-1,208.0,0.8,8000.0,REJ,rejected,0.0,0.0,196.27125
995898898746347,NORD,-1,212.15,1.0,13606.0,ACC,accepted,1.0,1.0,223.05663089813316
995898898746353,NORD,-1,220.84,1.0,14242.0,ACC,accepted,1.0,1.0,223.06385268922904
995898898746348,NORD,-1,211.24,1.0,10946.0,REJ,rejected,0.0,0.0,199.08201169376943
995898898746354,NORD,-1,216.41,1.0,11460.0,REJ,rejected,0.0,0.0,199.0643752181501
995898898746349,NORD,-1,228.48,1.0,18162.0,ACC,accepted,1.0,1.0,242.82975167933049
995898899088266,SUD,-1,224.98,1.0,10854.5,REJ,rejected,0.0,0.0,222.79360725966188
995898899088267,SUD,-1,225.44,1.0,11038.0,REJ,rejected,0.0,0.0,221.01082804855952
995898899088268,SUD,-1,197.61,1.0,9386.5,REJ,rejected,0.0,0.0,182.73306663825707
995898899088269,SUD,-1,235.43,1.0,12841.5,REJ,rejected,0.0,0.0,193.58075536347
995898899088264,SUD,-1,238.4,1.0,10272.0,ACC,accepted,1.0,1.0,240.07027063862927
995898899088265,SUD,-1,239.4,1.0,10113.0,ACC,accepted,1.0,1.0,241.98780085039058
995898898746337,NORD,-1,212.86,1.0,13340.0,ACC,accepted,1.0,1.0,223.06614992503748
