mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
1,MI,1,219.11,227.24,-8.13,227.24,228.26,1,22451.6,22305.2,2487,OK
2,MI,1,218.64,226.75,-8.11,226.75,226.99,1,22096.5,21961.1,2450,OK
3,MI,1,218.64,225.01,-6.37,225.01,225.31,1,21498.9,21384.5,2448,OK
4,MI,1,217.97,224.0,-6.03,224.0,224.23,1,21044.1,20911.7,2443,OK
5,MI,1,218.39,225.0,-6.61,225.0,225.0,1,20688.8,20665.3,2416,OK
6,MI,1,217.97,219.62,-1.65,219.49,219.62,1,20364.6,20363.7,2432,OK
7,MI,1,217.97,219.49,-1.52,219.49,220.0,1,19956.6,19940.5,2399,OK
8,MI,1,217.9,215.76,2.14,215.76,216.87,1,19618.6,19634.7,2390,OK
9,MI,1,218.39,215.76,2.63,215.76,215.99,1,19276.1,19315.0,2385,OK
10,MI,1,218.39,214.18,4.21,214.18,214.75,1,19020.4,19045.8,2390,OK
11,MI,1,217.97,214.12,3.85,214.12,214.63,1,18719.1,18737.9,2378,OK
12,MI,1,217.97,214.03,3.94,213.23,214.03,1,18530.6,18548.3,2373,OK
13,MI,1,217.97,214.18,3.79,214.18,216.94,1,18433.1,18439.8,2388,OK
14,MI,1,217.97,214.12,3.85,214.12,216.51,1,18258.4,18265.1,2387,OK
15,MI,1,217.97,214.12,3.85,214.12,215.77,1,18128.2,18148.9,2390,OK
16,MI,1,217.97,214.12,3.85,214.12,215.78,1,18011.7,18032.4,2379,OK
17,MI,1,217.97,213.18,4.79,213.18,214.86,1,17901.1,17921.8,2387,OK
18,MI,1,217.9,213.18,4.72,213.18,214.92,1,17774.8,17827.4,2385,OK
19,MI,1,217.9,213.18,4.72,213.18,214.59,1,17727.8,17773.6,2390,OK
20,MI,1,217.9,213.18,4.72,213.18,214.45,1,17693.0,17745.6,2383,OK
21,MI,1,216.73,212.24,4.49,212.24,212.9,1,17386.7,17473.8,2410,OK
22,MI,1,217.9,212.6,5.3,212.6,213.01,1,17439.6,17536.2,2404,OK
23,MI,1,217.9,213.18,4.72,213.18,214.61,1,17704.1,17775.7,2405,OK
24,MI,1,218.39,216.62,1.77,215.76,216.9,1,18300.4,18339.3,2381,OK
25,MI,1,218.64,223.38,-4.74,220.03,224.31,1,18879.6,18792.7,2446,OK
26,MI,1,220.62,231.2,-10.58,230.79,231.26,1,21042.2,20874.0,2427,OK
27,MI,1,220.98,233.99,-13.01,233.89,233.99,1,22066.1,21917.0,2430,OK
28,MI,1,221.12,246.0,-24.88,244.77,246.0,1,22607.4,22390.2,2427,OK
29,MI,1,220.62,231.98,-11.36,231.87,235.35,1,22559.1,22280.8,2479,OK
30,MI,1,220.62,237.27,-16.65,237.27,240.0,1,22961.2,22628.8,2503,OK
