link_id,from_zone,to_zone,hour,atc_mw,loss_factor
ML-SN,ML,SN,1,150,0.04
ML-SN,ML,SN,2,150,0.04
ML-SN,ML,SN,3,150,0.04
ML-SN,ML,SN,4,150,0.04
ML-SN,ML,SN,5,150,0.04
ML-SN,ML,SN,6,150,0.04
ML-SN,ML,SN,7,150,0.04
ML-SN,ML,SN,8,150,0.04
ML-SN,ML,SN,9,150,0.04
ML-SN,ML,SN,10,150,0.04
ML-SN,ML,SN,11,150,0.04
ML-SN,ML,SN,12,150,0.04
ML-SN,ML,SN,13,150,0.04
ML-SN,ML,SN,14,150,0.04
ML-SN,ML,SN,15,150,0.04
ML-SN,ML,SN,16,150,0.04
ML-SN,ML,SN,17,150,0.04
ML-SN,ML,SN,18,150,0.04
ML-SN,ML,SN,19,150,0.04
ML-SN,ML,SN,20,150,0.04
ML-SN,ML,SN,21,150,0.04
ML-SN,ML,SN,22,150,0.04
ML-SN,ML,SN,23,150,0.04
ML-SN,ML,SN,24,150,0.04
SN-ML,SN,ML,1,150,0.04
SN-ML,SN,ML,2,150,0.04
SN-ML,SN,ML,3,150,0.04
SN-ML,SN,ML,4,150,0.04
SN-ML,SN,ML,5,150,0.04
SN-ML,SN,ML,6,150,0.04
SN-ML,SN,ML,7,150,0.04
SN-ML,SN,ML,8,150,0.04
SN-ML,SN,ML,9,150,0.04
SN-ML,SN,ML,10,150,0.04
SN-ML,SN,ML,11,150,0.04
SN-ML,SN,ML,12,150,0.04
SN-ML,SN,ML,13,150,0.04
SN-ML,SN,ML,14,150,0.04
SN-ML,SN,ML,15,150,0.04
SN-ML,SN,ML,16,150,0.04
SN-ML,SN,ML,17,150,0.04
SN-ML,SN,ML,18,150,0.04
SN-ML,SN,ML,19,150,0.04
SN-ML,SN,ML,20,150,0.04
SN-ML,SN,ML,21,150,0.04
SN-ML,SN,ML,22,150,0.04
SN-ML,SN,ML,23,150,0.04
SN-ML,SN,ML,24,150,0.04
CI-ML,CI,ML,1,200,0.04
CI-ML,CI,ML,2,200,0.04
CI-ML,CI,ML,3,200,0.04
CI-ML,CI,ML,4,200,0.04
CI-ML,CI,ML,5,200,0.04
CI-ML,CI,ML,6,200,0.04
CI-ML,CI,ML,7,200,0.04
CI-ML,CI,ML,8,200,0.04
CI-ML,CI,ML,9,200,0.04
CI-ML,CI,ML,10,200,0.04
CI-ML,CI,ML,11,200,0.04
CI-ML,CI,ML,12,200,0.04
CI-ML,CI,ML,13,200,0.04
CI-ML,CI,ML,14,200,0.04
CI-ML,CI,ML,15,200,0.04
CI-ML,CI,ML,16,200,0.04
CI-ML,CI,ML,17,200,0.04
CI-ML,CI,ML,18,200,0.04
CI-ML,CI,ML,19,200,0.04
CI-ML,CI,ML,20,200,0.04
CI-ML,CI,ML,21,200,0.04
CI-ML,CI,ML,22,200,0.04
CI-ML,CI,ML,23,200,0.04
CI-ML,CI,ML,24,200,0.04
ML-CI,ML,CI,1,150,0.04
ML-CI,ML,CI,2,150,0.04
ML-CI,ML,CI,3,150,0.04
ML-CI,ML,CI,4,150,0.04
ML-CI,ML,CI,5,150,0.04
ML-CI,ML,CI,6,150,0.04
ML-CI,ML,CI,7,150,0.04
ML-CI,ML,CI,8,150,0.04
ML-CI,ML,CI,9,150,0.04
ML-CI,ML,CI,10,150,0.04
ML-CI,ML,CI,11,150,0.04
ML-CI,ML,CI,12,150,0.04
ML-CI,ML,CI,13,150,0.04
ML-CI,ML,CI,14,150,0.04
ML-CI,ML,CI,15,150,0.04
ML-CI,ML,CI,16,150,0.04
ML-CI,ML,CI,17,150,0.04
ML-CI,ML,CI,18,150,0.04
ML-CI,ML,CI,19,150,0.04
ML-CI,ML,CI,20,150,0.04
ML-CI,ML,CI,21,150,0.04
ML-CI,ML,CI,22,150,0.04
ML-CI,ML,CI,23,150,0.04
ML-CI,ML,CI,24,150,0.04
GN-SN,GN,SN,1,250,0.03
GN-SN,GN,SN,2,250,0.03
GN-SN,GN,SN,3,250,0.03
GN-SN,GN,SN,4,250,0.03
GN-SN,GN,SN,5,250,0.03
GN-SN,GN,SN,6,250,0.03
GN-SN,GN,SN,7,250,0.03
GN-SN,GN,SN,8,250,0.03
GN-SN,GN,SN,9,250,0.03
GN-SN,GN,SN,10,250,0.03
GN-SN,GN,SN,11,250,0.03
GN-SN,GN,SN,12,250,0.03
GN-SN,GN,SN,13,250,0.03
GN-SN,GN,SN,14,250,0.03
GN-SN,GN,SN,15,250,0.03
GN-SN,GN,SN,16,250,0.03
GN-SN,GN,SN,17,250,0.03
GN-SN,GN,SN,18,250,0.03
GN-SN,GN,SN,19,250,0.03
GN-SN,GN,SN,20,250,0.03
GN-SN,GN,SN,21,250,0.03
GN-SN,GN,SN,22,250,0.03
GN-SN,GN,SN,23,250,0.03
GN-SN,GN,SN,24,250,0.03
SN-GN,SN,GN,1,250,0.03
SN-GN,SN,GN,2,250,0.03
SN-GN,SN,GN,3,250,0.03
SN-GN,SN,GN,4,250,0.03
SN-GN,SN,GN,5,250,0.03
SN-GN,SN,GN,6,250,0.03
SN-GN,SN,GN,7,250,0.03
SN-GN,SN,GN,8,250,0.03
SN-GN,SN,GN,9,250,0.03
SN-GN,SN,GN,10,250,0.03
SN-GN,SN,GN,11,250,0.03
SN-GN,SN,GN,12,250,0.03
SN-GN,SN,GN,13,250,0.03
SN-GN,SN,GN,14,250,0.03
SN-GN,SN,GN,15,250,0.03
SN-GN,SN,GN,16,250,0.03
SN-GN,SN,GN,17,250,0.03
SN-GN,SN,GN,18,250,0.03
SN-GN,SN,GN,19,250,0.03
SN-GN,SN,GN,20,250,0.03
