order_id,participant,zone,type,side,hour,quantity_mw,price,mar,parent_id,exclusive_group,cross_border
SN_D_01,SENELEC,SN,hourly,buy,1,638,1300.0,,,,
SN_D_02,SENELEC,SN,hourly,buy,2,638,1300.0,,,,
SN_D_03,SENELEC,SN,hourly,buy,3,638,1300.0,,,,
SN_D_04,SENELEC,SN,hourly,buy,4,638,1300.0,,,,
SN_D_05,SENELEC,SN,hourly,buy,5,638,1300.0,,,,
SN_D_06,SENELEC,SN,hourly,buy,6,645,1300.0,,,,
SN_D_07,SENELEC,SN,hourly,buy,7,664,1300.0,,,,
SN_D_08,SENELEC,SN,hourly,buy,8,694,1300.0,,,,
SN_D_09,SENELEC,SN,hourly,buy,9,734,1300.0,,,,
SN_D_10,SENELEC,SN,hourly,buy,10,780,1300.0,,,,
SN_D_11,SENELEC,SN,hourly,buy,11,829,1300.0,,,,
SN_D_12,SENELEC,SN,hourly,buy,12,879,1300.0,,,,
SN_D_13,SENELEC,SN,hourly,buy,13,925,1300.0,,,,
SN_D_14,SENELEC,SN,hourly,buy,14,965,1300.0,,,,
SN_D_15,SENELEC,SN,hourly,buy,15,995,1300.0,,,,
SN_D_16,SENELEC,SN,hourly,buy,16,1014,1300.0,,,,
SN_D_17,SENELEC,SN,hourly,buy,17,1021,1300.0,,,,
SN_D_18,SENELEC,SN,hourly,buy,18,1084,1300.0,,,,
SN_D_19,SENELEC,SN,hourly,buy,19,1134,1300.0,,,,
SN_D_20,SENELEC,SN,hourly,buy,20,1104,1300.0,,,,
SN_D_21,SENELEC,SN,hourly,buy,21,1064,1300.0,,,,
SN_D_22,SENELEC,SN,hourly,buy,22,1018,1300.0,,,,
SN_D_23,SENELEC,SN,hourly,buy,23,899,1300.0,,,,
SN_D_24,SENELEC,SN,hourly,buy,24,638,1300.0,,,,
ML_D_01,EDM,ML,hourly,buy,1,261,1300.0,,,,
ML_D_02,EDM,ML,hourly,buy,2,261,1300.0,,,,
ML_D_03,EDM,ML,hourly,buy,3,261,1300.0,,,,
ML_D_04,EDM,ML,hourly,buy,4,261,1300.0,,,,
ML_D_05,EDM,ML,hourly,buy,5,261,1300.0,,,,
ML_D_06,EDM,ML,hourly,buy,6,264,1300.0,,,,
ML_D_07,EDM,ML,hourly,buy,7,271,1300.0,,,,
ML_D_08,EDM,ML,hourly,buy,8,282,1300.0,,,,
ML_D_09,EDM,ML,hourly,buy,9,297,1300.0,,,,
ML_D_10,EDM,ML,hourly,buy,10,314,1300.0,,,,
ML_D_11,EDM,ML,hourly,buy,11,332,1300.0,,,,
ML_D_12,EDM,ML,hourly,buy,12,351,1300.0,,,,
ML_D_13,EDM,ML,hourly,buy,13,368,1300.0,,,,
ML_D_14,EDM,ML,hourly,buy,14,383,1300.0,,,,
ML_D_15,EDM,ML,hourly,buy,15,394,1300.0,,,,
ML_D_16,EDM,ML,hourly,buy,16,401,1300.0,,,,
ML_D_17,EDM,ML,hourly,buy,17,404,1300.0,,,,
ML_D_18,EDM,ML,hourly,buy,18,437,1300.0,,,,
ML_D_19,EDM,ML,hourly,buy,19,465,1300.0,,,,
ML_D_20,EDM,ML,hourly,buy,20,454,1300.0,,,,
ML_D_21,EDM,ML,hourly,buy,21,439,1300.0,,,,
ML_D_22,EDM,ML,hourly,buy,22,422,1300.0,,,,
ML_D_23,EDM,ML,hourly,buy,23,368,1300.0,,,,
ML_D_24,EDM,ML,hourly,buy,24,261,1300.0,,,,
CI_D_01,CIE,CI,hourly,buy,1,1080,1300.0,,,,
CI_D_02,CIE,CI,hourly,buy,2,1080,1300.0,,,,
CI_D_03,CIE,CI,hourly,buy,3,1080,1300.0,,,,
CI_D_04,CIE,CI,hourly,buy,4,1080,1300.0,,,,
CI_D_05,CIE,CI,hourly,buy,5,1080,1300.0,,,,
CI_D_06,CIE,CI,hourly,buy,6,1089,1300.0,,,,
CI_D_07,CIE,CI,hourly,buy,7,1116,1300.0,,,,
CI_D_08,CIE,CI,hourly,buy,8,1159,1300.0,,,,
CI_D_09,CIE,CI,hourly,buy,9,1215,1300.0,,,,
CI_D_10,CIE,CI,hourly,buy,10,1280,1300.0,,,,
CI_D_11,CIE,CI,hourly,buy,11,1350,1300.0,,,,
CI_D_12,CIE,CI,hourly,buy,12,1420,1300.0,,,,
CI_D_13,CIE,CI,hourly,buy,13,1485,1300.0,,,,
CI_D_14,CIE,CI,hourly,buy,14,1541,1300.0,,,,
CI_D_15,CIE,CI,hourly,buy,15,1584,1300.0,,,,
CI_D_16,CIE,CI,hourly,buy,16,1611,1300.0,,,,
CI_D_17,CIE,CI,hourly,buy,17,1620,1300.0,,,,
CI_D_18,CIE,CI,hourly,buy,18,1701,1300.0,,,,
CI_D_19,CIE,CI,hourly,buy,19,1764,1300.0,,,,
CI_D_20,CIE,CI,hourly,buy,20,1721,1300.0,,,,
CI_D_21,CIE,CI,hourly,buy,21,1665,1300.0,,,,
CI_D_22,CIE,CI,hourly,buy,22,1600,1300.0,,,,
CI_D_23,CIE,CI,hourly,buy,23,1440,1300.0,,,,
